2024-11-15 20:58:10,636 - INFO - Starting training script
2024-11-15 20:58:10,636 - INFO - Model ID: 04
2024-11-15 20:58:10,636 - INFO - Figures folder: figures
2024-11-15 20:58:10,637 - INFO - Input folder: input_files
2024-11-15 20:58:10,637 - INFO - Output folder: output_files
2024-11-15 21:13:30,319 - INFO - Output 2, Epoch 5/50 - Epoch Loss: 663.8233
2024-11-15 21:13:46,823 - INFO - Output 2, Epoch 6/50 - Epoch Loss: 663.5720
2024-11-15 21:14:03,447 - INFO - Output 2, Epoch 7/50 - Epoch Loss: 663.4841
2024-11-15 21:14:19,918 - INFO - Output 2, Epoch 8/50 - Epoch Loss: 663.3399
2024-11-15 21:14:36,419 - INFO - Output 2, Epoch 9/50 - Epoch Loss: 663.1844
2024-11-15 21:14:53,115 - INFO - Output 2, Epoch 10/50 - Epoch Loss: 663.1117
2024-11-15 21:15:09,541 - INFO - Output 2, Epoch 11/50 - Epoch Loss: 663.0288
2024-11-15 21:15:26,120 - INFO - Output 2, Epoch 12/50 - Epoch Loss: 662.9705
2024-11-15 21:15:42,528 - INFO - Output 2, Epoch 13/50 - Epoch Loss: 662.8766
2024-11-15 21:15:59,132 - INFO - Output 2, Epoch 14/50 - Epoch Loss: 662.8777
2024-11-15 21:16:15,788 - INFO - Output 2, Epoch 15/50 - Epoch Loss: 662.7994
2024-11-15 21:16:32,253 - INFO - Output 2, Epoch 16/50 - Epoch Loss: 662.7749
2024-11-15 21:16:48,822 - INFO - Output 2, Epoch 17/50 - Epoch Loss: 662.7696
2024-11-15 21:17:05,319 - INFO - Output 2, Epoch 18/50 - Epoch Loss: 662.7278
2024-11-15 21:17:21,798 - INFO - Output 2, Epoch 19/50 - Epoch Loss: 662.8161
2024-11-15 21:17:38,388 - INFO - Output 2, Epoch 20/50 - Epoch Loss: 662.7386
2024-11-15 21:17:54,945 - INFO - Output 2, Epoch 21/50 - Epoch Loss: 662.7131
2024-11-15 21:18:11,516 - INFO - Output 2, Epoch 22/50 - Epoch Loss: 662.6142
2024-11-15 21:18:28,002 - INFO - Output 2, Epoch 23/50 - Epoch Loss: 662.6317
2024-11-15 21:18:44,658 - INFO - Output 2, Epoch 24/50 - Epoch Loss: 662.5325
2024-11-15 21:19:01,244 - INFO - Output 2, Epoch 25/50 - Epoch Loss: 662.6028
2024-11-15 21:19:17,749 - INFO - Output 2, Epoch 26/50 - Epoch Loss: 662.5629
2024-11-15 21:19:34,279 - INFO - Output 2, Epoch 27/50 - Epoch Loss: 662.5626
2024-11-15 21:19:50,771 - INFO - Output 2, Epoch 28/50 - Epoch Loss: 662.5772
2024-11-15 21:20:07,357 - INFO - Output 2, Epoch 29/50 - Epoch Loss: 662.5101
2024-11-15 21:20:23,903 - INFO - Output 2, Epoch 30/50 - Epoch Loss: 662.5601
2024-11-15 21:20:40,348 - INFO - Output 2, Epoch 31/50 - Epoch Loss: 662.4171
2024-11-15 21:20:56,925 - INFO - Output 2, Epoch 32/50 - Epoch Loss: 662.5514
2024-11-15 21:21:13,383 - INFO - Output 2, Epoch 33/50 - Epoch Loss: 662.4553
2024-11-15 21:21:29,994 - INFO - Output 2, Epoch 34/50 - Epoch Loss: 662.5008
2024-11-15 21:21:46,465 - INFO - Output 2, Epoch 35/50 - Epoch Loss: 662.4204
2024-11-15 21:22:02,960 - INFO - Output 2, Epoch 36/50 - Epoch Loss: 662.5355
2024-11-15 21:22:19,532 - INFO - Output 2, Epoch 37/50 - Epoch Loss: 662.5357
2024-11-15 21:22:36,006 - INFO - Output 2, Epoch 38/50 - Epoch Loss: 662.4625
